OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
460,Los Angeles County,West Covina,75430.6959534737,60787841.9847402
461,Los Angeles County,West Hollywood,21043.1280190502,7178776.13279768
462,Yolo County,West Sacramento,46542.5938132488,97668635.0962435
463,Los Angeles County,Westlake Village,23746.2586545628,20793969.8410517
464,Orange County,Westminster,54681.3384034449,37856014.9737793
465,Imperial County,Westmorland,11110.2060139104,2278997.77229768
466,Yuba County,Wheatland,46817.1916629927,34942501.7667811
467,Los Angeles County,Whittier,60118.611551731,55336397.7599114
468,Riverside County,Wildomar,42935.3810219151,88789862.9934068
469,Colusa County,Williams,31341.4284777539,21818463.912714
470,Mendocino County,Willits,29697.9378512124,12205174.4225234
471,Glenn County,Willows,22627.8857396229,12259747.5267192
472,Sonoma County,Windsor,57429.9825146091,31982194.9444743
473,Yolo County,Winters,24490.915338958,10808718.3958999
474,Tulare County,Woodlake,29228.2883259394,13117136.1903446
475,Yolo County,Woodland,73108.3517060942,63908760.2698641
476,San Mateo County,Woodside,59456.3283462419,47108680.4196889
477,Orange County,Yorba Linda,73440.2299409109,74996754.1276948
478,Napa County,Yountville,18246.497113978,6291605.61385166
479,Siskiyou County,Yreka,64678.2562356433,46826625.6972485
480,Sutter County,Yuba City,80865.4751226184,71761294.6422463
481,San Bernardino County,Yucaipa,66662.1427767737,106868886.688923
482,San Bernardino County,Yucca Valley,63739.2574501613,150931779.762017
